id;name;serve_date;book_before_date;cancel_before_date
1;Corporate;2022-07-29;2022-07-29;2022-07-29
2;Frozen Principal;2022-07-29;2022-07-28;2022-07-28
3;Lead neural Integration;2022-07-29;2022-07-29;2022-07-29
4;Quetzal;2022-07-29;2022-07-29;2022-07-28
5;generate navigating;2022-07-29;2022-07-28;2022-07-28
6;user-facing empower matrix;2022-07-29;2022-07-29;2022-07-29
7;Keyboard;2022-07-29;2022-07-29;2022-07-29
8;payment THX;2022-07-28;2022-07-29;2022-07-28
9;Grocery embrace;2022-07-28;2022-07-29;2022-07-28
10;matrix;2022-07-28;2022-07-28;2022-07-28
